"nama","waktu","ulasan"
"Aufa Yazit","1 jam lalu","Heavy rain. but good place to visit👌 …"
"Syahinda Pristiwa","1 hari lalu",""
"dwi Setyanty","1 hari lalu",""
"tahir derin","2 hari lalu",""
"andrian syah","2 hari lalu",""
"philip irvan","2 hari lalu",""
"khairul bahri","4 hari lalu","Asik tempat buat yg suka foto²🙏 …"
"yohan","4 hari lalu",""
"Moch Shofiy","4 hari lalu",""
"Syifa Nur Aini","4 hari lalu","tolong pengelola untuk harga parkir motor atau mobil tidak ketok harga. Karena kami tidak nyaman saat berkunjung ke sana dan harga parkir motor 10rb."
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Khofifah Annisa Putri","5 hari lalu",""
"Reza SaputrA","5 hari lalu",""
"Ekasuryana","5 hari lalu","Untuk harga 50k terlalu mahal dengan kondisi dan fasilitas yang ada. Nuker minuman juga cuma dua pilihan jus jambu dan bandrek. Rute nya terlalu curam tanjakannya. Ditambah ada sales skincare yang cara penjualan nya maksa. Tolong …"
"laila nisya","5 hari lalu",""
"Shinta Kania Ariani (SKAmedia)","6 hari lalu","Bagus, banyak banget spot foto yang instagramable"
"Destra Ariandra","6 hari lalu",""
"Necomic","6 hari lalu",""
"Maya Prastio","6 hari lalu","Kesini tgl 22 Maret 2023 bareng suami anak mamah adek2 n ponakan sehari sebelum puasa malamnya langsung balik ke Semarang lagi padahal tapi pagi sampe sore masih di Lembang Bandung😄😄😄 …"
"Denny S Martaatmadja","seminggu lalu","So relaxing places"
"Simma Putra","seminggu lalu","Bagus sekali"
"Ayudi Pramudya Hazzl","seminggu lalu","pengalaman wisata Terbaru.. buat saya.. serasa berlari ke seluruh penjuru dunia dalam hitungan Menit... …"
"S Handi","seminggu lalu","Beberapa kali kesini terawat tempatnya"
"Andri nugraha","seminggu lalu","saik"
"Mesakh Adhiatma","seminggu lalu",""
"Ayuningtyas Setiadi","seminggu lalu","keren banget asli, tuk kedua kalinya kesini & ga bosenn"
