"nama","waktu","ulasan"
"kya chan","3 jam lalu","Rekomen pokonya sudah lebih dari 3x kesana gak pernah kecew"
"Tendy Samsudin","8 jam lalu",""
"samsi mustika","9 jam lalu","bersih & rapih  udaranya msh sejuk"
"Reforms","10 jam lalu",""
"Maman Jok vareasi","22 jam lalu","Tempat rekreasi yg sangat bagus buat semua kalangan ,cuma jln nya aja masih sempit suka macet 🙏🙏🙏 …"
"Achmad Riza Fanani","1 hari lalu",""
"Desi Glori Natasya","2 hari lalu",""
"habibi ubaidillah","2 hari lalu","Rapih, bersih, lumayan lengkap"
"Dedi Supriadi","2 hari lalu","Musolah yg diluar kenapa sekarang tidak ada ?????"
"Dair Muhammad","3 hari lalu","Area luas bgt, tempatnya enak nyaman lah, tenant makanan jg banyak di dalam area zoo, sangat cocok buat jalan2 bareng keluarga terutama buat bocil2 sih, banyak aktivitas bocil yg sangat rekomen, parkirannya jg luas, kalo berkunjung di hari jumat gk usah bingung untuk sholat jumatnya krn di dlm tersedia tempat buat sholat jumat"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Fitri Fauziah","3 hari lalu","Keren seruuuuuuuuu"
"Irwan Latif","3 hari lalu","Seru sekarang ada tiket terusan kampung satwanya"
"Firman Nugroho","3 hari lalu","Bersih......
Tp kasihan kalau hewannya cuma sendirian di kandang, sebaiknya berpasangan kali ya....
But overall nice places"
"Hilma Hisani","4 hari lalu","Kesini waktu weekday tiketnya lebih murah, beli tiket yang terusan ke kampung satwa, tempatnya bagus, hewannya cukup terawat, jalan-jalan seru dan mengedukasi"
"Nilam","5 hari lalu",""
"Sandila Putri","5 hari lalu","Kerenn bersih"
"Aqila 123","5 hari lalu","Kesini untuk yg ke dua kali nya  tmpat nya bnr² nyaman bersih dan instagramable bgt , smoga suatu saat bisa ksini lg"
"Asep Sunandar","5 hari lalu","Lambang Park & Zoo
Kebun Binatang Mini yang berlokasi di Jalan Lembang - Cisarua Kabupaten Bandung Barat tepatnya dikawasan Parompong"
"zulfiqar abdurrazak","5 hari lalu","Kesini udah 3x tetep mantep, makan siang sambil liat harimau di aquarium (mksdnya dipagerin kaca) hehe, anak ga bosen2 kalo kemari. Meskipun agak jauh dari jakarta tp bagus lah worth it."
"Ncussa 23","6 hari lalu",""
"Vinny Akviany","6 hari lalu",""
"Emmilia Agustinah","6 hari lalu",""
"yogi karipto","6 hari lalu","sangat bagus utk weekend bersama keluarga"
"raden suwito","6 hari lalu",""
"Adinda Ragilia Rahmandini","6 hari lalu",""
"sabrina shamid","6 hari lalu",""
"Fidya Fachriyah Khoirunnisa","seminggu lalu","Seruuu area nya luas tapi petunjuk arahnya memang kurang jelas harus kita bawa maps biar alur dan semua binatang nya terkunjungi"
"ANDRI YANA","seminggu lalu","Mantap"
"Darra Manisku","seminggu lalu",""
"sarastri wulandari","seminggu lalu",""
"Fathur Rachman Rafiuddin","seminggu lalu","I recommend going there on weekdays, children under 80cm are free to enter the zoo, beli on the spot aja lbh murah"
"dodi rudiansah","seminggu lalu",""
"Dwi Cahyono","seminggu lalu","Pelayanan ramah"
"Tiara Inggit","seminggu lalu","Seru bangeeetttt cocok untuk family time atau zoo date bareng pasangan. Apalagi klo yg punya anak bisa buat main sambil belajar mengenali hewan². Untuk muslim disini fasilitas mushola nya juga sangat nyaman, mukena nya wangiiii🫶🏻🥰 …"
"Ryan Nurlita","seminggu lalu",""
"Maya Prastio","seminggu lalu","Kesini tgl 18 Juli 2024 udah hampir setahun tapi ternyata blm di upload di sinihhhhh😄🙈🤣🤣🤣😭Maafkan🙏🙏 Ini Zoo yg ada di Lembang Bandung yah klo kesini butuh sekitar 40-50 menitan dr kota Bandung tempatnya bagus luas bersih hewan2nya gendut2 …"
"Eko Sugiarto","seminggu lalu",""
"Ricky Wijanarko","seminggu lalu",""
"Ristia Bayu","seminggu lalu",""
"indera 14","seminggu lalu",""
"Tw","seminggu lalu",""
"Khodel Saputra","seminggu lalu","Sangat menarik"
"Resa Cahyana","seminggu lalu","good"
"Ridwan S.H","seminggu lalu",""
"Adriana","seminggu lalu","Nice zoo"
"Ratu Natasya","seminggu lalu",""
"Igun Arifiansyah","seminggu lalu",""
"Roni Tas","seminggu lalu","slmt datang"
"Muhaemin","seminggu lalu","Temat rekreasi yg pas buat keluarga"
"Ferris Fattih","seminggu lalu",""
"Fitri Rahayu","seminggu lalu","Tempat yang sangat disenangi anak saat berkunjung . Luas, bersih dan bnyak satwanya."
"Rivan satria","seminggu lalu","Tempat'y bersih nyaman untuk bawa anak jalan2 sekalian edukasi"
"Silvia Muhayar","seminggu lalu",""
"ciku ghea","seminggu lalu",""
"Daniel Valentino","seminggu lalu",""
"Ateng Soris","seminggu lalu",""
"Ashadi Nurdhuha","seminggu lalu","Buka ga kak?"
"Rika Nurcahyati","seminggu lalu",""
"Ria Mulia31","seminggu lalu",""
"Adythia Jeffrederson Sijabat","seminggu lalu","Fantastic"
"Vivi Aviroh","seminggu lalu","Banyak bangey hewan2nya"
"Kevin Alfaro","seminggu lalu","Luas banget dan bersih"
"Zihry 14","seminggu lalu",""
"Nikita Putri","seminggu lalu","Banyak wahana baru didalemnya makin puas bawa anak-anak kesiniiii"
"Widia Agustina","seminggu lalu",""
"Al Maun Dalimunte","2 minggu lalu",""
"Haji Yunus","2 minggu lalu","Mantap lah park zoo nya.. Dan trimakasih stiker"
"Rakana","2 minggu lalu",""
"Cindy Suherti","2 minggu lalu",""
"Herry Arifin","2 minggu lalu",""
"Fachri Tio","2 minggu lalu",""
"Brigita Cindy","2 minggu lalu",""
"eka diah safitri","2 minggu lalu",""
"Aji Nurdiansyah Jamil","2 minggu lalu","bagus tempatnya luas, banyak toliet di sepanjang perjalanan, banyak tempat istrhat juga. cuman hewan belum lengkap seperti jerapah, badak, panda"
"M Adam","2 minggu lalu",""
"R GunZ","2 minggu lalu",""
"Young Seo Ah","2 minggu lalu",""
"davidwanda putra","2 minggu lalu",""
"Brewog Brew","2 minggu lalu",""
"cak san","2 minggu lalu",""
"Ken Creamer","2 minggu lalu",""
"Arie Adhitama","2 minggu lalu",""
"Jonathan Franciscus Onggeleng","2 minggu lalu","❤️🙏🧚🌹🕯️👍 …"
"Irvan Hidayatullah","2 minggu lalu",""
"Ashley Kim","2 minggu lalu","Went here on a windy, breezy day, such a perfect place to go with your family and kids. The facilities were all clean, the staffs were friendly, they even got many animals coming up: zebra, hyena, etc."
"Aris Mustaqim 17","2 minggu lalu",""
"Aura","2 minggu lalu","Tempat nya bagus , tapi jalan ke arah lokasi nya sempit, kalau udah macet ya wasalam"
"Intan Sonia Apriani","2 minggu lalu",""
"Ryan Primadi Jasman","2 minggu lalu",""
"yudha satya","2 minggu lalu","Lembang park & lokasi yangenarik, sebagai salah satu alternatif liburan bersama keluarga, terdapat banyak hewan dan wahana dengan model mini zoo, saya kesini diajak oleh rekan kemungkinan sebagai entertaining purpose saja, so far happy dengan tempat ini"
"fajar sapto aji","2 minggu lalu",""
"Heru Mercogliano","2 minggu lalu",""
"Kurrotun Aini","2 minggu lalu",""
"RAMDANI ODON OFFICAL","2 minggu lalu","datang dhari pekan seru banyak pertunjukan. hewannya juga bersih bersih, tara lokasinya rapi"
"Mia RB","2 minggu lalu","Bagus, nyaman, bersih, banuak satwa dan lengkap fasilitasnya"
"anaku damai malempu","2 minggu lalu","Ini foto"
"Robby Aditiya","2 minggu lalu",""
"Rohmat Raditiya","2 minggu lalu","Kurang nyaman kamar mandinya,air nya kecil"
"Panca Piaggio","2 minggu lalu","Good"
"Syaipul Anwar","2 minggu lalu","Wisata keluarga yg cukup nyaman"
"kristy emilia","2 minggu lalu","Good zoo in Bandung, not as complete as TSI but still nice zoo, accessible by walk or can rent the scooter. The safari journey took around 10 minutes, nice zoo if you have baby and kids. We can feed the animal and there is cat cafe, 20k per 1 hour."
"Ayu Indrariani","2 minggu lalu",""
"Editya Wahyu Waskito","2 minggu lalu","Menurut saya lembang zoo adalah tempat wisata yg sangat ramah bagi siapapun termasuk penderita disabilitas dan lansia, karena ada jalur khusus stroller dan kursi roda"
"Fany Okviansyah","2 minggu lalu","pengalaman seru bersama hewan"
"Warda Purba","2 minggu lalu",""
"ade harliantari","2 minggu lalu",""
"Toyo Thea","2 minggu lalu",""
"Muhammad Nanda Rachmatullah","2 minggu lalu","liburan bersama dede bayi, sangat rekomendasi,pelayanan tukang parkir motorny juga terbaik, helm dn motor ditutupin kantong plastik biar gak basah pas hujan, catch you later lembang park zoo ❤️❤️❤️"
"Vivien Fitrianna","2 minggu lalu","good tho tapi tidak disarankan kalau long weekend hihi macetnya puoool araah sini"
"Ivan Anak Malam","2 minggu lalu",""
"Fauzi Firdaus","2 minggu lalu",""
"Karima Indry","3 minggu lalu","Seru bgtt kesana bareng temen temen, Kemarin pas bgt, pas ke sana ada pertunjukan nya, ada burung nama nya olive/olife sama yang kakatua putih lucuu bgttt, the bestt dehh, kapan kapan pengen ke sana juga bareng keluarga"
"Agus Armansyah","3 minggu lalu",""
"10 dy","3 minggu lalu","Akses jalan kecil, susah untuk Bus dan jalan rawan longsor terutama di daerah alam sejuk. Perlu adanya jalan yang lebar menuju ke sana, atau tool Padalarang- Lembang, bagi yang saudara-saudara yang mau ke sana harap dipikirkan kembali untuk jalan- jalan kesana, karena keselamatan keluarga yang utama, terimakasih..."
"Ester Juwono","3 minggu lalu","Worth the price banget. Dengan harga segitu  yg didapat ok banget kok. Additional2 di dalam juga ga mahal. Binatangnya cukup banyak dan variatif. Tempatnya bersih (terutama toiletnya bersih). Ke sana pas kebetulan lg low season jadi gak rame, bisa santai menikmati."
"Andani Yulian","3 minggu lalu","Area nya luasss banget ternyataaa
Parkiran juga luass dan banyak area nya
Tiket masuk kmrn dpet 85rb per orang yg weekend dan trmasuk naik wara wiri dan …"
"oliph dena","3 minggu lalu",""
"Hengki Kang","3 minggu lalu","Tempatnya bagus ,bersih,rapih dan sejuk"
"Titus Elgatra Mukti","3 minggu lalu",""
"Nick","3 minggu lalu","Tiket Parkir 10k
Tiket Masuk Reguler 85k untuk masuk dan wisata kampung satwa.
Kesini pas hari libur jadi memang up ya. Kalau weekday lebih terjangkau. …"
"Kadut Hendra","3 minggu lalu",""
"Adi Setiadi","3 minggu lalu","Tempatnya biasa aja"
"Siregar Siregar","3 minggu lalu","Tempatnya bagus hewan2 aktif bergerak jadi bikin semangat wisatawan sepertinya hewan nya sangat diurus 👍, ada pertunjukan barongsai juga menambah kejutan, kasih makan Pelican juga lucu pada rebutan, harga wajar dan sesuai dengan kualitas …"
"Emil Hardiansyah","3 minggu lalu","Lembang Park & Zoo adalah destinasi wisata di Lembang, Kabupaten Bandung Barat, Jawa Barat, yang menggabungkan konsep taman rekreasi dengan kebun binatang. Tempat ini menawarkan berbagai aktivitas edukatif dan rekreasi yang cocok untuk …"
"MUHAMMAD IHSAN","3 minggu lalu",""
"Adam Ramadhan","3 minggu lalu",""
"Cahayalissella seviani","3 minggu lalu",""
"Sky Long","3 minggu lalu",""
"Glen Satria","3 minggu lalu","Bersih"
"M Nuh Agung","3 minggu lalu","Lembang Park & Zoo adalah tempat wisata yang sangat menyenangkan untuk dikunjungi bersama keluarga! Koleksi satwanya cukup lengkap dan terawat dengan baik. Lingkungannya bersih, asri, dan tertata rapi, membuat pengalaman berkeliling menjadi …"
"Oky Murpiandi","3 minggu lalu","Seru hanya kurang jerapah aja"
"Barli Hari","3 minggu lalu","pelayanan ramah dan lengkap"
"Susi Suhandu","3 minggu lalu",""
"Ulfah Izdihar","3 minggu lalu","bagus banget. tempat yang sangat menyenangkan untuk keluarga"
"Rizqullah Tangerang","3 minggu lalu","Keren dan bagus bagusbuntuk anak2"
"SANDI DAP","3 minggu lalu","Bagus untuk Liburan anak anak... Cocok"
"Isni Nur Azizah","3 minggu lalu","Seruuu polll, meskipun weekend tp tidak terlalu crowded. Worth it👍👍👍👍 …"
"Arif Rahman","3 minggu lalu","Banyak wahana baru dan makin tertata rapi, arena bermain anak bersih"
"Kireina Onna no hito","3 minggu lalu","Tempatnya luas,setiap pojok ada mushola,toilet dan jajanan,,adem,suasana nyaman buat bawa anak dan keluarga,main seharian juga ga bakal bosen"
"Aif Sayfuddin","3 minggu lalu",""
"Firman Nugraha","3 minggu lalu",""
"Nisa Nurjannah","3 minggu lalu",""
"Hevry Ratrisia","3 minggu lalu",""
"Idris Siddiq","3 minggu lalu",""
"Mr Taufik Hidayat","3 minggu lalu","bagus cocok untuk mengajak anak² edukasi"
"Nur Hamidah","3 minggu lalu",""
"Epriyanto Gunawan","3 minggu lalu","Best place zoo and cheap price"
"Fahmi Rafsanjani","3 minggu lalu","Seruseruan dengan kostum hewan di lembang park zoo"
"TAUFIK ROHMANUDDIN","3 minggu lalu",""
"eMyU","3 minggu lalu","Seru, tapi capek soalnya luasss, cocok buat anak² supaya mengenal banyak hewan, kalo capek banyak tempat duduk juga kok, stand² jajanan jg ada walaupun agak mehong 🤭 namanya tempat liburan wajar ya. Waktu kesana emang macet ya Bandung, mungkin karna libur panjang. Pokoknya seru, mau lagi kapan² kesana ♥️ …"
"Nawn Cikopipait","3 minggu lalu",""
"Pratiwi ramadhani","3 minggu lalu","Bersih dan terawat. Recomended"
"Christina Nastassja","3 minggu lalu",""
"Y","3 minggu lalu","Tempatnya luas....anak-anak pasti suka"
"Muhammad Rizky","3 minggu lalu",""
"Imaniar Nur","3 minggu lalu",""
"Taufik Hidayat","3 minggu lalu",""
"Muhammad Al Habsyi","3 minggu lalu",""
"Jainal manurung","3 minggu lalu",""
"Fajrin salsabilah","4 minggu lalu",""
"Ahmad Fahmi Hafizh","4 minggu lalu",""
"Joshua Cahya","4 minggu lalu","- Harga tiket terjangkau
- bersih
- habitat bagus tertata rapi
- koleksi hewan cukup lengkap"
"Tasya Marsella","4 minggu lalu",""
"Nurma Ayu","4 minggu lalu","Seruuuuuuuuu bgt bawa anak ksini"
"Precious Shop","4 minggu lalu",""
"Hendro Wibowo","4 minggu lalu",""
"Ike nur halisah","4 minggu lalu","Kesini waktu bulan Oktober tahun 2024. saat Gathering dari kerjaan. Lembang Park & Zoo adalah destinasi wisata yang cocok utk keluarga terlebih anak-anak. ada berbagai macam jenis hewan tapi yang paling banyak disini jenis burung. ada …"
"Wisnoe Adianto","4 minggu lalu",""
"Tuti Kaisoo","4 minggu lalu","Tempatnya nyaman,bersih."
"Kevin","4 minggu lalu","Sangat lengkap dan bervariatif."
"Heru Tyomac1","4 minggu lalu","Tempat yg cocok buat anak"""
"Muhamad Alif","4 minggu lalu",""
"josua yabes","4 minggu lalu","Jalan jalan bersama keluarga"
"titim rohaeti","4 minggu lalu",""
"Endang Boni suryana Suryana","4 minggu lalu",""
"Zahra Kania","4 minggu lalu",""
"Silvia Adam","4 minggu lalu","Mushola dan toilet mohon di perbaiki, kebersihannya. Agar pengunjung nyaman"
"Lina Karlina","4 minggu lalu","Nyaman bangett, cuaca nya adem, banyak tempat istirahat juga, cocok banget buat bawa anak 👍 …"
"Eli Jingga","4 minggu lalu","Kemaren agak nyesel pas kesini beli tiket 65k ya. Soalnya ada yg 50k untuk tiket biasa. 65k tuh bisa naik apaaa gitu lupa tpi gak worth it sih..ditiketnya jg gaada keterangan apa gitu yg didapet. Jadi agak bngung. …"
"Maheswari C","4 minggu lalu","Parkiran luas dan ada mobil wara wiri gratis utk ke area parkir. Mushola dan toilet kesebar di mana2 plus bersih. Staf2nya ramah dan helpful, gercep tiap ada lansia yg perlu wheelchair. Harga makanan2nya masih belasan ribu. Dapet oatside gratis pas sebelum pulang sama paket mewarnai buat anak2 kecil"
"Chandra Hariwibowo","4 minggu lalu","Tiap ke bandung pasti kesini.. Salah satu best zoo terbaik yang bisa ajak anak utk interaksi langsung dengan binatang.. ketika kemari ada kampung satwa yang bertujuan untuk mengajak para pengunjung utk berkeliling melihat binatang, memang …"
"Ervi Latore","4 minggu lalu",""
"Muhammad Seno Aji Pratama","4 minggu lalu",""
"Julian Fajar","4 minggu lalu","Good place"
