"nama","waktu","ulasan"
"Basukarna","1 hari lalu","OK"
"Syafiq Yazid","2 hari lalu",""
"Y Oktiari","2 hari lalu","Banyak mamang baik hati dengan tulus membantu foto 🙏🏻 …"
"baemp_","3 hari lalu","Tempat yg sangat indah & wajib dikunjungi...
Jd rekomendasi utk refreshing menghilangkan kepenatan kerja dan sbg sarana liburan keluarga.."
"Reyhan Muqtashid","3 hari lalu",""
"Julianto","4 hari lalu","dua kali mendaki, tiga kali naik bus"
"Riska Damayanti","4 hari lalu","Tiketnya 75rb,aku bertiga sama anak umur 5 th katanya anak anak tidak dikenakan biaya masuk..ini kali kedua aku ke gn Tangkuban perahu.th pertama di 2017 dan sekarang di th 2025.awalnya foto foto sendiri terus ada yg ngajak ngobrol sambil …"
"Philippe Solages","4 hari lalu","Gunung berapi Indonesia yang bagus yang dapat dicapai dengan mobil (skuter untuk kami) sampai ke tepinya. Pemandangan menarik dan berjalan-jalan singkat. Biaya masuk di akhir pekan 300.000 rupiah untuk orang asing (10 kali lebih mahal dari …"
"beruangs","4 hari lalu","beautiful scenery, the weather is very cool especially when the fog descends.."
"muhammad varra ramadhan","6 hari lalu","kondisi sebelum dan sesudah berkabut dikarenakan hujan mulai turun."
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Kenny J. Sutomo","seminggu lalu","kerennnn baru tau ada gunung sekeren ini. waktu kesana kabutttr. dari surabaya langsung ke sini ternyata dingin banget. kirain apa tangkuban perahu ternyata gunung. viewnya mantap. banyak org org yg ngebantu fotoin juga kalau mau. ada yg …"
"Pahrul Padiangan Setiawan","seminggu lalu","Salah satu destinasi Favorit baik WNI maupun WNA yang berlibur di area Lembang, Bandung"
"djonathan","seminggu lalu","Ini kali ke 4 kewisata tangkuban perahu. Tetap jadi wisata yg menarik sebelum ke tempat wisata lainnya,, walau jujur itu itu saja tapi tiap dtg ke Bandung pasti kesini sedapat mungkin"
"Kunkun Wahyudin","seminggu lalu",""
"Muhammad Yoga S","seminggu lalu",""
"Nina Puspita Nurul Hasanah","seminggu lalu",""
"Andryan Pradipta","seminggu lalu","Here you can ride your vehicle up to near the top, stunning views of crater and lot of things that you can buy such as berries fruit, Souvenirs, plants, etc. …"
"Irfan Nasution","seminggu lalu","Bagua"
"Patrick Wong","2 minggu lalu","Tidak perlu mendaki gunung, Anda bisa mencapai kawah dengan menggunakan mobil."
"Ari yuli","2 minggu lalu",""
"doni rizal","2 minggu lalu",""
"Michael Weise","2 minggu lalu","Tempat ini sangat indah dan menarik untuk dilihat, tetapi sebagai orang asing Anda merasa sangat ditipu. Saya berangkat ke sana sendirian dari Lembang dengan naik ojek Gojek seharga 27.000 rupee yang juga mengantarkan saya ke bibir kawah. …"
